Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tc	Td	Tc-Trt	(Tc-Trt)/ Td
2	1	1	1	6	27	2.048	2.128	2.125	2.814	3.873	16	12	52	84	40	0.476190476
2	1	1	1	27	46	1.94	1.123	2.227	2.947	4.503	-64	12	40	76	28	0.368421053
2	1	1	1	46	58	2.341	1.308	2.286	3.663	4.064	-52	-4	40	48	44	0.916666667
2	1	1	1	58	69	2.249	2.299	2.372	3.247	3.758	4	8	32	44	24	0.545454545
2	1	1	1	69	86	1.93	1.219	2.282	3.114	3.672	-36	20	52	68	32	0.470588235
2	1	1	1	86	97	1.822	1.26	2.328	2.486	2.936	-40	20	28	44	8	0.181818182
2	1	1	1	97	120	1.453	1.214	1.984	3.174	3.853	-20	28	76	92	48	0.52173913
2	1	1	1	142	161	2.081	1.777	1.777	3.027	3.379	-20	-20	60	76	80	1.052631579
2	1	1	1	161	177	1.838	1.447	1.891	2.438	2.847	-44	4	44	64	40	0.625
2	1	1	1	177	207	1.436	1.217	2.025	2.557	3.091	-28	56	96	120	40	0.333333333
2	1	1	1	207	243	1.395	1.132	1.862	2.148	2.831	-28	60	84	144	24	0.166666667
2	1	1	1	243	294	1.395	1.246	1.77	2.505	3.457	-36	64	164	204	100	0.490196078
2	1	2	2	14	28	2.466	1.201	1.994	5.307	6.004	-48	-12	48	56	60	1.071428571
2	1	10	7	26	40	1.783	1.361	1.832	2.351	2.797	-44	4	32	56	28	0.5
2	1	11	1	27	45	1.831	1.033	1.999	3.122	4.042	-68	8	48	72	40	0.555555556
2	1	11	11	45	61	1.852	1.004	2.061	3.665	4.268	-60	12	52	64	40	0.625
2	1	13	1	46	71	2.051	1.082	2.261	2.883	5.021	-56	8	36	100	28	0.28
2	1	17	1	58	79	1.705	1.161	1.928	3.223	4.745	-36	8	52	84	44	0.523809524
2	1	17	17	79	87	2.348	1.236	1.871	2.799	3.318	-56	-20	16	32	36	1.125
2	1	20	1	69	87	1.827	1.259	2.332	2.971	4.135	-28	20	40	72	20	0.277777778
2	1	20	20	87	103	1.985	1.393	2.096	3.409	4.053	-36	8	52	64	44	0.6875
2	1	21	17	79	87	2.302	1.174	2.271	2.899	3.315	-60	-4	20	32	24	0.75
2	1	24	1	86	107	1.768	1.269	2.276	2.867	4.143	-36	20	48	84	28	0.333333333
2	1	24	24	107	123	2.039	1.335	2.212	2.904	3.409	-44	12	48	64	36	0.5625
2	1	27	1	97	121	1.426	1.341	2.406	3.002	3.749	-8	52	72	96	20	0.208333333
2	1	27	27	121	140	1.751	1.261	2.197	2.413	3.058	-36	32	44	76	12	0.157894737
2	1	28	24	107	124	1.994	1.215	2.183	2.733	3.08	-56	12	48	68	36	0.529411765
