Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tn	Tc	Td	Tn-Trt	Tc-Trt	Tc-Tn	(Tn-Trt)/Td	(Tc-Trt)/ Td	(Tc-Tn)/ Td
1	1	1	1	37	96	1.626	2.1	2.537	2.564	2.986	310	480	490	510	590	10	30	20	0.016949153	0.050847458	0.033898305
1	1	1	1	96	166	1.532	2.184	2.606	2.806	3.229	410	560	600	580	700	40	20	-20	0.057142857	0.028571429	-0.028571429
1	1	1	1	166	229	1.704	2.104	2.525	2.576	3.001	290	490	510	520	630	20	30	10	0.031746032	0.047619048	0.015873016
1	1	5	2	25	116	1.097	1.995	2.165	2.165	2.661	540	740	740	800	910	0	60	60	0	0.065934066	0.065934066
1	1	6	1	37	111	1.419	1.919	2.214	2.376	2.788	360	590	630	630	740	40	40	0	0.054054054	0.054054054	0
1	1	7	1	96	159	1.453	2.036	2.44	2.454	2.781	370	550	560	550	630	10	0	-10	0.015873016	0	-0.015873016
1	1	11	1	166	235	1.526	2.201	2.3	2.785	3.183	320	530	600	600	690	70	70	0	0.101449275	0.101449275	0
1	3	1	1	51	145	1.604	2.053	2.734	2.766	3.247	310	650	720	860	940	70	210	140	0.074468085	0.223404255	0.14893617
1	3	2	2	68	120	1.353	1.467	2.046	2.172	2.47	150	360	400	440	520	40	80	40	0.076923077	0.153846154	0.076923077
1	3	14	1	54	114	1.4	1.567	1.948	2.061	2.514	220	390	480	510	600	90	120	30	0.15	0.2	0.05
1	3	14	14	114	188	1.259	1.711	2.25	2.25	2.721	430	610	610	600	740	0	-10	-10	0	-0.013513514	-0.013513514
1	3	15	2	68	113	1.314	1.469	1.724	2.058	2.451	160	270	360	350	450	90	80	-10	0.2	0.177777778	-0.022222222
1	3	17	14	114	192	1.255	1.902	2.134	2.37	2.976	490	640	710	660	780	70	20	-50	0.08974359	0.025641026	-0.064102564
1	3	19	1	145	227	1.488	1.8	2.165	2.306	2.708	270	540	670	710	820	130	170	40	0.158536585	0.207317073	0.048780488
1	5	1	1	49	131	1.621	1.996	2.359	2.455	2.768	430	650	690	700	820	40	50	10	0.048780488	0.06097561	0.012195122
1	5	2	2	28	90	1.736	1.918	2.482	2.673	3.259	130	360	420	500	620	60	140	80	0.096774194	0.225806452	0.129032258
1	5	2	2	90	148	1.612	1.95	2.243	2.402	2.812	240	410	470	470	580	60	60	0	0.103448276	0.103448276	0
