Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tn	Tc	Td	Tn-Trt	Tc-Trt	Tc-Tn	(Tn-Trt)/Td	(Tc-Trt)/ Td	(Tc-Tn)/ Td
1	1	1	1	44	69	1.657	1.136	1.731	2.179	3.089	-60	8	40	56	100	32	48	16	0.32	0.48	0.16
1	1	1	1	69	94	1.352	1.179	1.399	2.619	3.241	-36	36	68	76	100	32	40	8	0.32	0.4	0.08
1	1	1	1	94	139	1.772	1.644	2.253	3.019	3.79	-16	80	136	144	180	56	64	8	0.311111111	0.355555556	0.044444444
1	1	1	1	139	170	2.038	1.501	2.329	2.372	3.088	-64	52	68	72	124	16	20	4	0.129032258	0.161290323	0.032258065
1	1	1	1	170	221	1.745	1.734	2.269	2.511	3.629	-4	120	148	160	204	28	40	12	0.137254902	0.196078431	0.058823529
1	1	1	1	221	240	1.989	1.573	2.222	2.267	3.106	-36	28	32	36	76	4	8	4	0.052631579	0.105263158	0.052631579
1	1	1	1	240	270	1.491	1.224	2.059	2.27	3.611	-24	36	64	80	120	28	44	16	0.233333333	0.366666667	0.133333333
1	1	9	9	38	75	1.377	1.087	1.744	2.266	3.619	-44	44	92	100	148	48	56	8	0.324324324	0.378378378	0.054054054
1	1	14	9	38	75	1.49	1.19	1.657	1.682	3.557	-36	56	64	64	148	8	8	0	0.054054054	0.054054054	0
1	1	16	1	44	69	1.65	1.14	1.752	2.177	2.893	-56	12	56	72	100	44	60	16	0.44	0.6	0.16
1	1	16	16	69	105	1.367	1.067	1.777	2.287	3.352	-40	36	96	104	144	60	68	8	0.416666667	0.472222222	0.055555556
1	1	18	1	70	101	1.566	1.249	2.082	2.238	3.533	-52	36	64	76	124	28	40	12	0.225806452	0.322580645	0.096774194
1	1	18	18	101	133	1.562	0.926	1.934	2.689	4.327	-76	28	80	92	128	52	64	12	0.40625	0.5	0.09375
1	1	18	18	133	147	2.312	1.231	2.312	2.264	3.328	-80	0	12	24	56	12	24	12	0.214285714	0.428571429	0.214285714
1	1	19	16	69	102	1.525	1.223	1.933	2.514	3.18	-36	48	84	92	132	36	44	8	0.272727273	0.333333333	0.060606061
1	1	22	1	94	124	1.47	1.266	2.057	2.304	3.297	-16	56	76	84	120	20	28	8	0.166666667	0.233333333	0.066666667
1	1	22	22	125	148	1.752	1.307	2.166	2.213	3.17	-36	36	40	44	92	4	8	4	0.043478261	0.086956522	0.043478261
1	1	22	22	146	188	1.567	1.37	2.174	2.331	3.251	-20	80	104	116	168	24	36	12	0.142857143	0.214285714	0.071428571
1	1	23	18	101	127	1.971	1.496	2.172	2.721	3.964	-40	20	52	72	104	32	52	20	0.307692308	0.5	0.192307692
1	1	27	22	123	154	1.558	1.228	2.128	2.084	3.272	-28	48	64	72	124	16	24	8	0.129032258	0.193548387	0.064516129
1	1	30	1	139	171	1.753	1.259	2.13	2.176	2.582	-64	48	60	76	128	12	28	16	0.09375	0.21875	0.125
1	1	30	30	171	220	1.185	1.265	1.472	2.35	3.673	-8	60	136	156	196	76	96	20	0.387755102	0.489795918	0.102040816
1	1	30	30	221	242	1.773	1.345	1.876	2.472	3.713	-56	16	40	56	84	24	40	16	0.285714286	0.476190476	0.19047619
1	1	32	22	147	184	1.624	1.315	2.051	2.393	3.143	-28	84	96	104	148	12	20	8	0.081081081	0.135135135	0.054054054
1	1	34	1	168	239	1.297	1.2	2.149	2.357	3.923	-20	140	180	212	284	40	72	32	0.14084507	0.253521127	0.112676056
