Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tn	Tc	Td	Tn-Trt	Tc-Trt	Tc-Tn	(Tn-Trt)/Td	(Tc-Trt)/ Td	(Tc-Tn)/ Td
1	2	10	10	39	55	1.938	0.827	2.026	2.642	3.209	-112	4	40	40	64	36	36	0	0.5625	0.5625	0
1	4	1	1	131	166	1.327	1.15	1.987	2.096	2.952	-28	80	84	112	140	4	32	28	0.028571429	0.228571429	0.2
1	4	43	35	117	140	1.617	1.202	1.742	2.173	2.774	-28	20	56	72	92	36	52	16	0.391304348	0.565217391	0.173913043
1	4	33	29	83	100	1.986	1.137	1.807	2.797	4.048	-56	-8	40	44	68	48	52	4	0.705882353	0.764705882	0.058823529
1	4	21	1	42	58	2.198	0.975	2.061	3.239	4.923	-44	-4	32	48	64	36	52	16	0.5625	0.8125	0.25
1	4	13	11	24	52	1.764	1.325	2.099	2.754	4.021	-28	24	64	92	112	40	68	28	0.357142857	0.607142857	0.25
1	4	35	35	99	117	1.656	1.393	2.125	2.334	3.161	-20	32	40	48	72	8	16	8	0.111111111	0.222222222	0.111111111
1	4	1	1	9	26	1.973	1.576	2.076	2.657	3.56	-28	8	36	48	68	28	40	12	0.411764706	0.588235294	0.176470588
1	4	11	1	8	24	1.916	1.634	2.193	2.565	3.366	-20	16	32	40	64	16	24	8	0.25	0.375	0.125
1	4	29	29	83	102	2.038	1.335	1.698	3.039	4.526	-40	-16	44	60	76	60	76	16	0.789473684	1	0.210526316
1	4	34	27	82	96	2.069	1.189	2.069	2.741	3.719	-56	0	32	36	56	32	36	4	0.571428571	0.642857143	0.071428571
1	4	25	21	58	70	2.393	1.217	2.393	3.241	4.244	-56	0	28	36	48	28	36	8	0.583333333	0.75	0.166666667
1	5	16	1	44	59	2.143	2.049	1.927	3.215	3.564	--	-12	36	44	60	48	56	8	0.8	0.933333333	0.133333333
1	4	2	2	9	26	1.897	2.111	1.897	3.451	4.62	--	0	48	52	68	48	52	4	0.705882353	0.764705882	0.058823529
1	4	41	41	135	154	1.66	1.133	1.901	2.307	3.054	-48	16	44	60	76	28	44	16	0.368421053	0.578947368	0.210526316
1	2	10	1	14	39	1.807	1.535	1.972	2.4	3.882	-48	16	44	60	100	28	44	16	0.28	0.44	0.16
1	4	40	29	101	114	2.188	0.949	2.309	3.158	3.721	-80	4	32	32	52	28	28	0	0.538461538	0.538461538	0
1	4	11	11	24	56	1.603	1.245	1.875	2.211	3.747	-36	28	52	84	128	24	56	32	0.1875	0.4375	0.25
1	4	35	35	117	145	1.544	1.017	1.66	2.49	2.969	-44	24	92	76	112	68	52	-16	0.607142857	0.464285714	-0.142857143
1	4	38	35	99	122	1.692	1.316	2.256	2.256	3.101	-24	44	44	64	92	0	20	20	0	0.217391304	0.217391304
1	4	29	29	102	118	2.217	1.019	2.078	2.84	4.443	-76	-4	28	48	64	32	52	20	0.5	0.8125	0.3125
1	4	51	41	135	152	1.661	1.095	1.873	2.283	3.245	-52	20	40	48	68	20	28	8	0.294117647	0.411764706	0.117647059
1	2	1	1	14	49	1.985	2.011	2.032	2.138	2.784	--	8	60	88	140	52	80	28	0.371428571	0.571428571	0.2
1	4	41	1	114	135	1.728	1.186	2.034	2.117	3.32	-40	24	28	52	84	4	28	24	0.047619048	0.333333333	0.285714286
1	4	12	12	22	33	2.185	1.237	2.315	3.079	4.277	-44	4	24	32	44	20	28	8	0.454545455	0.636363636	0.181818182
2	5	13	2	21	37	2.12	1.239	2.018	3.386	4.668	-48	-4	40	44	64	44	48	4	0.6875	0.75	0.0625
2	1	2	2	11	32	1.561	1.114	1.748	2.6	3.203	-36	16	60	60	84	44	44	0	0.523809524	0.523809524	0
2	3	21	14	53	70	1.883	1.009	1.761	3.029	4.217	-48	-4	40	48	68	44	52	8	0.647058824	0.764705882	0.117647059
2	2	15	1	36	55	1.887	0.985	1.612	2.309	3.591	-92	-16	24	44	76	40	60	20	0.526315789	0.789473684	0.263157895
2	2	39	34	126	147	1.678	0.886	1.785	2.418	3.721	-64	12	48	56	84	36	44	8	0.428571429	0.523809524	0.095238095
2	5	1	1	104	129	1.603	1.191	1.867	2.546	3.801	-60	20	60	72	100	40	52	12	0.4	0.52	0.12
2	2	4	4	16	33	1.94	1.065	2.146	2.672	3.397	-56	16	40	44	68	24	28	4	0.352941176	0.411764706	0.058823529
2	5	2	2	21	38	2.045	1.147	1.8	3.481	4.231	-56	-12	48	44	68	60	56	-4	0.882352941	0.823529412	-0.058823529
2	2	35	34	111	131	1.882	2	1.822	2.604	4.087	--	-4	36	44	80	40	48	8	0.5	0.6	0.1
2	1	2	2	32	47	1.674	1.016	2.016	2.121	3.041	-52	20	28	40	60	8	20	12	0.133333333	0.333333333	0.2
2	5	1	1	8	28	1.634	2.196	1.969	2.492	3.107	--	20	52	64	80	32	44	12	0.4	0.55	0.15
2	2	3	3	31	49	1.633	0.788	1.712	2.838	3.552	-68	4	52	52	72	48	48	0	0.666666667	0.666666667	0
2	2	20	3	49	64	1.73	0.886	1.905	2.695	3.209	-64	8	44	44	60	36	36	0	0.6	0.6	0
2	2	32	15	96	114	1.957	0.956	1.957	2.768	3.959	-72	0	36	44	72	36	44	8	0.5	0.611111111	0.111111111
2	2	15	15	55	72	2.009	1.061	2.159	2.568	3.688	-64	8	28	40	68	20	32	12	0.294117647	0.470588235	0.176470588
2	5	16	16	55	85	1.816	0.951	1.739	2.821	4.264	-76	-4	68	92	120	72	96	24	0.6	0.8	0.2
2	1	17	1	43	59	1.847	0.796	2.053	2.556	3.606	-68	8	32	40	64	24	32	8	0.375	0.5	0.125
2	3	20	1	52	74	1.563	0.719	1.65	2.646	3.546	-48	8	60	60	88	52	52	0	0.590909091	0.590909091	0
2	2	21	21	76	97	1.637	0.892	1.577	2.556	3.593	-72	-4	60	56	84	64	60	-4	0.761904762	0.714285714	-0.047619048
2	3	12	2	20	39	1.886	1.009	1.83	2.921	4.033	-76	-4	44	48	76	48	52	4	0.631578947	0.684210526	0.052631579
2	5	1	1	150	169	2.083	0.928	1.945	2.69	4.333	-88	-20	36	48	76	56	68	12	0.736842105	0.894736842	0.157894737
2	5	31	31	82	95	2.156	0.945	1.98	3.754	4.682	-60	-4	40	32	52	44	36	-8	0.846153846	0.692307692	-0.153846154
2	3	1	1	52	67	1.277	0.837	1.366	1.874	2.423	-32	16	32	40	60	16	24	8	0.266666667	0.4	0.133333333
2	5	1	1	129	150	1.958	0.946	1.791	2.927	3.942	-76	-8	44	48	84	52	56	4	0.619047619	0.666666667	0.047619048
2	5	16	1	28	55	1.604	1.098	1.742	2.313	3.266	-48	20	68	76	108	48	56	8	0.444444444	0.518518519	0.074074074
2	3	21	21	70	80	2.004	2.004	1.413	2.54	3.507	--	-36	20	28	40	56	64	8	1.4	1.6	0.2
2	5	22	1	51	68	1.997	0.793	1.802	2.946	4.1	-76	-8	44	48	68	52	56	4	0.764705882	0.823529412	0.058823529
2	5	22	22	68	81	2.1	1.156	1.623	2.787	3.679	-56	-16	28	32	52	44	48	4	0.846153846	0.923076923	0.076923077
2	3	14	14	71	83	2.388	0.89	1.483	3.179	4.268	-72	-32	24	36	48	56	68	12	1.166666667	1.416666667	0.25
2	3	1	1	13	37	1.457	1.232	1.677	2.286	3.148	-44	20	64	72	96	44	52	8	0.458333333	0.541666667	0.083333333
2	3	14	1	37	53	1.764	0.857	1.596	2.502	3.663	-72	-8	36	40	64	44	48	4	0.6875	0.75	0.0625
2	3	16	11	42	56	2.148	1.167	1.947	3.085	3.941	-40	-8	32	40	56	40	48	8	0.714285714	0.857142857	0.142857143
2	5	31	22	68	82	2	0.999	1.889	3.282	4.67	-68	-4	36	40	56	40	44	4	0.714285714	0.785714286	0.071428571
2	5	24	11	51	62	2.393	2.1	1.764	3.068	4.352	--	-24	24	28	44	48	52	4	1.090909091	1.181818182	0.090909091
2	5	56	1	129	154	1.843	1.004	1.811	2.452	3.373	-68	-4	44	76	100	48	80	32	0.48	0.8	0.32
2	5	37	22	97	113	1.918	1.002	1.918	4.004	3.964	-52	0	48	44	64	48	44	-4	0.75	0.6875	-0.0625
