Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tn	Tc	Td	Tn-Trt	Tc-Trt	Tc-Tn	(Tn-Trt)/Td	(Tc-Trt)/ Td	(Tc-Tn)/ Td
1	1	10	1	11	29	1.921	1.589	2.107	2.562	3.874	-36	8	28	40	72	20	32	12	0.277777778	0.444444444	0.166666667
1	1	10	10	29	46	1.951	1.334	2.309	2.536	3.645	-40	20	28	32	68	8	12	4	0.117647059	0.176470588	0.058823529
1	1	15	10	28	50	1.855	1.281	2.474	2.611	3.675	-40	32	44	56	88	12	24	12	0.136363636	0.272727273	0.136363636
1	1	16	1	29	50	1.855	1.557	2.535	2.783	3.933	-24	36	44	52	84	8	16	8	0.095238095	0.19047619	0.095238095
1	1	16	16	50	64	2.174	1.345	2.177	2.774	3.987	-44	4	24	28	56	20	24	4	0.357142857	0.428571429	0.071428571
1	1	16	16	63	84	1.955	1.439	2.437	2.998	4.024	-24	28	56	56	84	28	28	0	0.333333333	0.333333333	0
1	1	18	16	50	71	1.759	1.101	1.759	2.393	3.368	-64	0	44	48	84	44	48	4	0.523809524	0.571428571	0.047619048
1	1	20	20	71	91	2.042	1.396	2.488	3.096	5.227	-32	20	36	44	80	16	24	8	0.2	0.3	0.1
1	1	20	20	91	105	2.676	1.18	2.211	3.164	4.723	-64	-16	16	28	56	32	44	12	0.571428571	0.785714286	0.214285714
1	1	24	20	71	91	1.803	1.185	2.201	2.679	3.973	-48	24	40	44	80	16	20	4	0.2	0.25	0.05
1	1	30	20	90	106	2.391	1.374	2.391	3.699	4.813	-48	0	40	44	64	40	44	4	0.625	0.6875	0.0625
1	1	32	26	97	120	2.14	1.257	1.945	2.69	4.113	-52	-8	40	56	92	48	64	16	0.52173913	0.695652174	0.173913043
1	1	33	33	119	138	2.114	1.194	2.195	2.72	4.011	-48	4	32	48	76	28	44	16	0.368421053	0.578947368	0.210526316
1	1	37	33	118	132	2.012	1.268	2.151	3.157	4.432	-36	4	36	36	56	32	32	0	0.571428571	0.571428571	0
1	1	38	38	135	151	2.384	1.149	1.84	3.156	4.984	-68	-20	28	48	64	48	68	20	0.75	1.0625	0.3125
1	1	38	38	151	163	2.564	1.065	1.699	2.948	4.857	-72	-28	12	20	48	40	48	8	0.833333333	1	0.166666667
1	1	41	38	134	153	2.206	1.208	2.001	3.256	4.313	-60	-8	44	56	76	52	64	12	0.684210526	0.842105263	0.157894737
1	1	42	42	156	171	2.548	1.324	2.273	2.842	4.04	-68	-12	12	24	60	24	36	12	0.4	0.6	0.2
1	1	48	42	156	171	2.399	1.282	1.98	2.577	3.808	-72	-24	12	12	60	36	36	0	0.6	0.6	0
1	2	1	1	85	103	1.414	1.356	1.834	2.078	4.185	-40	24	32	40	72	8	16	8	0.111111111	0.222222222	0.111111111
1	2	1	1	160	182	1.907	1.139	2.026	2.651	3.412	-40	8	52	56	88	44	48	4	0.5	0.545454545	0.045454545
1	2	1	1	183	210	1.755	1.103	1.672	1.96	3.35	-72	-4	32	64	108	36	68	32	0.333333333	0.62962963	0.296296296
1	2	1	1	210	233	1.617	1.05	1.617	2.035	3.069	-64	0	40	56	92	40	56	16	0.434782609	0.608695652	0.173913043
1	2	1	1	234	262	1.552	0.942	1.573	2.201	4.072	-64	4	56	68	112	52	64	12	0.464285714	0.571428571	0.107142857
1	2	2	2	61	87	1.636	1.398	2.302	3.737	5.175	-32	36	76	80	104	40	44	4	0.384615385	0.423076923	0.038461538
1	2	10	4	19	48	2.051	1.3	2.506	2.56	5.185	-32	48	52	64	116	4	16	12	0.034482759	0.137931034	0.103448276
1	2	17	1	103	119	2.362	0.69	1.628	3.824	5.208	-76	-20	40	44	64	60	64	4	0.9375	1	0.0625
1	2	17	17	119	130	2.675	1.181	2.4	3.522	4.849	-64	-8	20	24	44	28	32	4	0.636363636	0.727272727	0.090909091
1	2	23	1	132	145	2.363	0.741	1.455	2.775	4.442	-56	-12	16	28	52	28	40	12	0.538461538	0.769230769	0.230769231
1	2	23	23	145	159	2.154	1.237	2.154	2.698	4.35	-48	0	20	36	56	20	36	16	0.357142857	0.642857143	0.285714286
1	2	23	23	159	174	2.054	1.163	1.907	2.945	4.691	-48	-4	32	40	60	36	44	8	0.6	0.733333333	0.133333333
1	2	25	23	145	159	2.288	1.237	2.288	2.984	4.374	-48	0	24	28	56	24	28	4	0.428571429	0.5	0.071428571
1	2	35	27	164	181	2.142	1.176	1.843	2.679	4.185	-56	-12	24	28	68	36	40	4	0.529411765	0.588235294	0.058823529
1	2	41	27	178	198	1.78	1.301	2.13	2.256	3.55	-36	20	32	48	80	12	28	16	0.15	0.35	0.2
1	2	43	1	183	211	1.766	1.077	1.74	2.23	3.234	-76	-4	36	40	112	40	44	4	0.357142857	0.392857143	0.035714286
1	2	43	43	210	238	1.575	1.141	1.578	1.98	3.086	-68	4	44	68	112	40	64	24	0.357142857	0.571428571	0.214285714
1	2	51	1	210	242	1.734	0.98	1.559	2.013	3.224	-76	-16	36	72	128	52	88	36	0.40625	0.6875	0.28125
4	1	1	1	66	87	1.75	1.141	1.776	2.684	3.529	-72	4	56	60	84	52	56	4	0.619047619	0.666666667	0.047619048
4	1	1	1	88	108	1.738	1.171	2.124	2.385	3.425	-48	20	32	44	80	12	24	12	0.15	0.3	0.15
4	1	2	2	21	48	1.709	1.222	2.128	2.287	3.633	-44	32	44	60	108	12	28	16	0.111111111	0.259259259	0.148148148
4	1	2	2	48	69	1.802	1.144	1.842	2.042	3.074	-64	4	16	24	84	12	20	8	0.142857143	0.238095238	0.095238095
4	1	3	3	30	55	1.87	1.398	2.043	2.731	3.975	-60	12	48	64	100	36	52	16	0.36	0.52	0.16
4	1	14	2	21	50	1.597	1.245	2.066	2.398	3.416	-40	40	64	68	116	24	28	4	0.206896552	0.24137931	0.034482759
4	1	14	14	50	68	1.759	1.145	2.102	2.562	4.177	-60	20	36	44	72	16	24	8	0.222222222	0.333333333	0.111111111
4	1	15	15	62	99	1.534	1.416	2.33	2.44	3.563	-20	84	96	100	148	12	16	4	0.081081081	0.108108108	0.027027027
4	1	19	2	47	74	1.768	1.144	1.967	2.326	3.326	-60	20	48	48	108	28	28	0	0.259259259	0.259259259	0
4	1	24	1	66	89	1.616	1.085	1.745	2.717	4.183	-80	8	56	64	92	48	56	8	0.52173913	0.608695652	0.086956522
4	1	29	1	87	109	1.878	1.129	2.178	3.29	4.951	-48	16	52	56	88	36	40	4	0.409090909	0.454545455	0.045454545
5	1	1	1	206	226	2	1.319	2.441	3.484	4.967	-36	20	44	52	80	24	32	8	0.3	0.4	0.1
5	1	1	1	226	240	2.477	1.319	2.641	3.099	4.162	-56	4	20	28	56	16	24	8	0.285714286	0.428571429	0.142857143
5	1	1	1	283	301	1.979	1.198	2.095	2.927	4.374	-48	4	32	40	72	28	36	8	0.388888889	0.5	0.111111111
5	1	1	1	300	316	2.116	1.254	2.114	2.495	3.505	-48	4	24	28	64	20	24	4	0.3125	0.375	0.0625
5	1	3	3	16	39	2.16	1.573	2.345	2.653	4.018	-36	16	32	48	92	16	32	16	0.173913043	0.347826087	0.173913043
5	1	3	3	39	60	1.957	1.366	1.897	2.808	4.476	-56	-4	44	52	84	48	56	8	0.571428571	0.666666667	0.095238095
5	1	3	3	77	91	2.676	1.118	2.001	3.235	4.6	-72	-20	24	32	56	44	52	8	0.785714286	0.928571429	0.142857143
5	1	3	3	91	105	2.28	1.151	1.866	2.662	3.622	-68	-20	16	20	56	36	40	4	0.642857143	0.714285714	0.071428571
5	1	3	3	104	125	1.665	1.182	1.938	2.281	3.425	-48	16	40	52	84	24	36	12	0.285714286	0.428571429	0.142857143
5	1	4	4	24	43	2.242	1.576	2.288	3.014	4.558	-44	4	36	48	76	32	44	12	0.421052632	0.578947368	0.157894737
