Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tc	Td	Tc-Trt	(Tc-Trt)/ Td
1	1	1	1	43	79	2.379	2.427	3.427	3.648	4.377	8	92	104	144	12	0.083333333
1	1	1	1	79	126	2.436	2.484	3.839	3.758	4.497	4	132	128	188	-4	-0.021276596
1	1	1	1	184	226	2.589	2.626	3.291	3.974	4.778	4	80	128	168	48	0.285714286
1	1	1	1	226	249	2.68	2.358	3.188	3.698	4.381	-28	36	64	92	28	0.304347826
1	1	1	1	249	283	2.414	2.457	3.413	3.475	4.233	4	88	92	136	4	0.029411765
1	1	2	2	44	72	2.06	1.914	2.707	3.062	3.687	-12	48	72	112	24	0.214285714
1	1	8	1	43	78	1.906	1.961	2.848	2.887	3.64	12	88	92	140	4	0.028571429
1	1	8	8	78	126	1.789	2.304	2.95	2.905	3.747	72	136	132	192	-4	-0.020833333
1	1	14	1	79	120	1.941	1.97	2.708	3.054	3.925	4	80	112	164	32	0.195121951
1	1	17	17	180	212	2.223	1.769	2.74	2.86	3.523	-48	64	72	128	8	0.0625
1	1	22	1	184	234	2.158	2.134	3.124	3.429	4.484	-4	104	132	200	28	0.14
1	1	26	1	226	248	2.098	1.907	2.606	2.753	3.451	-20	40	52	88	12	0.136363636
1	1	26	26	248	288	1.698	1.946	2.757	2.827	3.707	36	104	112	160	8	0.05
1	1	28	26	248	277	1.753	1.847	2.638	2.804	3.21	8	76	84	116	8	0.068965517
1	1	29	1	249	279	1.967	2.151	2.972	3.022	3.508	16	80	88	120	8	0.066666667
1	2	1	1	275	296	2.592	2.039	2.792	2.993	3.839	-44	20	40	84	20	0.238095238
1	2	2	2	54	87	1.674	1.615	2.362	2.699	3.353	-8	68	92	132	24	0.181818182
1	2	3	3	35	73	1.827	1.964	2.752	2.938	3.694	20	92	104	152	12	0.078947368
1	2	12	2	54	84	2.066	2.037	2.822	3.032	3.559	-4	64	80	120	16	0.133333333
1	2	16	2	87	123	1.696	1.696	2.646	2.756	3.172	0	100	108	144	8	0.055555556
1	2	17	17	210	237	1.939	1.254	2.012	2.508	3.304	-68	8	64	108	56	0.518518519
1	2	24	1	196	245	1.882	1.473	2.03	2.609	3.754	-68	24	112	196	88	0.448979592
1	2	27	17	210	227	2.27	1.517	2.326	2.723	3.45	-64	4	32	68	28	0.411764706
1	2	32	24	245	283	1.969	1.631	2.395	2.704	3.667	-40	60	96	152	36	0.236842105
1	4	1	1	59	95	2.19	1.84	2.642	3.127	4.12	-36	44	92	144	48	0.333333333
1	4	1	1	95	120	2.325	1.799	2.682	2.95	3.566	-48	28	48	100	20	0.2
1	4	1	1	120	192	1.891	1.987	3.039	3.509	4.354	20	176	240	288	64	0.222222222
1	4	1	1	192	223	2.324	1.717	2.459	3.244	4.332	-88	12	76	124	64	0.516129032
1	4	1	1	223	249	2.282	1.709	2.581	2.943	3.72	-48	28	56	104	28	0.269230769
1	4	1	1	249	290	2	2.14	3.143	3.201	3.818	16	112	116	164	4	0.024390244
1	4	3	3	15	59	1.892	2.215	3.25	3.316	4.009	40	120	124	176	4	0.022727273
1	4	8	3	15	57	1.477	1.577	2.682	2.657	3.172	16	128	124	168	-4	-0.023809524
1	4	10	1	59	99	2.046	1.719	2.612	3.036	4.278	-36	48	92	160	44	0.275
1	4	10	10	99	125	2.052	1.583	2.347	2.603	3.584	-52	32	52	104	20	0.192307692
1	4	10	10	125	152	1.789	1.618	2.521	2.687	3.35	-16	56	64	108	8	0.074074074
1	4	14	1	95	125	1.794	1.388	2.065	2.569	3.359	-48	24	68	120	44	0.366666667
1	4	14	14	125	165	1.66	1.692	2.408	3.011	3.944	4	80	120	160	40	0.25
1	4	14	14	165	191	2.042	1.682	2.392	2.789	3.557	-28	32	60	104	28	0.269230769
1	4	16	1	120	176	1.676	1.847	2.524	2.946	4.103	28	124	160	224	36	0.160714286
1	4	18	14	125	158	1.699	1.546	2.447	2.569	3.254	-16	72	80	132	8	0.060606061
1	4	22	14	165	191	1.902	1.528	2.472	2.841	3.67	-32	40	64	104	24	0.230769231
1	4	23	16	176	215	2.069	1.887	2.473	3.561	4.536	-16	44	116	156	72	0.461538462
1	4	26	1	192	228	2.03	1.5	2.169	3.163	4.306	-88	16	92	144	76	0.527777778
1	4	26	26	228	246	2.161	1.418	2.21	2.445	3.219	-76	4	20	72	16	0.222222222
1	4	26	26	246	283	1.639	1.734	2.404	2.52	3.286	20	84	96	148	12	0.081081081
1	4	29	1	223	247	2.05	1.568	2.323	2.559	3.17	-44	32	52	96	20	0.208333333
1	4	29	29	247	295	1.605	1.649	2.749	2.842	4.049	4	128	136	192	8	0.041666667
1	4	30	26	228	252	2.145	1.387	2.1	2.855	3.489	-80	-4	56	96	60	0.625
1	4	31	1	249	295	1.72	1.802	2.689	2.94	3.812	12	124	140	184	16	0.086956522
1	5	2	2	143	183	1.896	2.166	3.245	3.29	3.941	32	116	120	160	4	0.025
1	5	9	9	84	118	1.83	1.613	2.288	2.446	3.412	-24	52	72	136	20	0.147058824
1	5	14	2	108	146	1.569	1.929	2.409	2.598	3.127	40	92	112	152	20	0.131578947
1	5	21	21	246	277	1.721	1.433	2.192	2.379	3.102	-32	52	72	124	20	0.161290323
2	3	1	1	79	104	3.145	2.667	3.47	4.086	4.752	-36	28	64	100	36	0.36
2	3	1	1	143	189	2.242	2.242	3.064	3.37	4.104	0	104	132	184	28	0.152173913
2	3	1	1	189	230	2.255	2.673	3.164	3.416	4.13	48	100	120	164	20	0.12195122
2	3	1	1	230	266	2.299	2.01	3.146	3.32	4.123	-32	88	100	144	12	0.083333333
2	3	1	1	266	295	2.22	2.22	3.03	3.423	3.748	0	72	96	116	24	0.206896552
2	3	7	1	14	59	1.711	1.931	2.821	2.915	3.648	48	132	140	180	8	0.044444444
2	3	8	2	16	60	1.851	2.122	2.998	3.056	3.559	48	136	140	176	4	0.022727273
2	3	14	1	79	109	2.395	2.031	2.782	3.078	3.942	-36	40	68	120	28	0.233333333
2	3	14	14	109	140	2.006	2.006	2.757	3.151	3.959	0	64	88	124	24	0.193548387
2	3	15	1	104	142	2.093	1.959	2.886	3.144	3.902	-16	84	100	152	16	0.105263158
2	3	15	15	142	181	1.976	1.813	2.686	2.934	3.396	-16	88	108	156	20	0.128205128
2	3	16	14	109	136	1.936	1.792	2.826	2.826	3.868	-20	72	72	108	0	0
2	3	19	15	142	178	1.925	1.822	2.614	2.99	3.663	-12	72	104	144	32	0.222222222
2	3	25	1	189	242	1.85	2.209	2.972	3.115	3.952	36	132	148	212	16	0.075471698
2	3	27	1	230	261	1.831	1.6	2.262	2.429	3.148	-32	56	68	124	12	0.096774194
2	3	31	1	266	297	1.902	1.767	2.662	3.018	3.752	-12	60	84	124	24	0.193548387
2	4	1	1	40	91	2.094	2.14	2.977	3.255	4.248	12	124	144	204	20	0.098039216
2	4	1	1	91	135	2.349	2.317	3.097	3.256	4.068	-4	92	112	176	20	0.113636364
2	4	1	1	135	188	2.237	2.247	2.966	3.438	4.205	4	120	164	212	44	0.20754717
2	4	1	1	188	218	2.272	2.074	2.707	2.962	3.455	-20	52	80	120	28	0.233333333
2	4	1	1	218	270	1.873	2.259	3.105	3.326	3.914	68	156	172	208	16	0.076923077
2	4	2	2	30	60	1.849	1.788	2.637	3.046	3.688	-8	60	88	120	28	0.233333333
2	4	2	2	60	91	1.736	1.823	2.901	2.901	3.41	12	92	92	124	0	0
2	4	8	2	30	61	1.821	1.794	2.799	2.98	3.639	-4	76	88	124	12	0.096774194
2	4	10	1	40	108	1.765	1.864	2.791	3.39	4.221	16	160	216	272	56	0.205882353
2	4	10	10	108	145	2.132	1.936	2.797	2.979	3.686	-24	72	92	148	20	0.135135135
2	4	13	13	151	192	2.053	1.862	2.755	2.944	3.737	-20	88	108	164	20	0.12195122
2	4	17	1	135	205	1.831	1.8	2.75	3.226	4.238	-8	140	204	280	64	0.228571429
2	4	20	13	151	188	2.347	2.025	3.221	3.515	4.452	-32	80	100	148	20	0.135135135
2	4	21	1	188	249	1.933	1.799	2.683	2.806	3.899	-16	96	116	244	20	0.081967213
2	4	25	1	218	277	1.582	1.565	2.587	2.819	3.299	-4	152	188	236	36	0.152542373
2	4	29	1	270	299	1.836	1.908	2.533	2.696	3.09	4	72	84	116	12	0.103448276
2	5	7	7	110	142	1.848	1.865	2.789	2.977	3.721	4	76	88	128	12	0.09375
2	5	7	7	142	173	2.014	2.122	2.855	3.004	3.855	12	72	80	124	8	0.064516129
2	5	12	7	84	116	1.975	1.533	2.378	2.982	3.792	-52	36	88	128	52	0.40625
2	5	14	7	110	143	1.753	1.818	2.808	2.902	3.606	8	84	92	132	8	0.060606061
2	5	21	21	213	276	1.692	1.948	2.613	2.955	4.167	48	156	180	252	24	0.095238095
2	5	29	24	250	279	1.865	1.802	2.489	2.661	3.192	-8	56	68	116	12	0.103448276
3	1	1	1	20	43	2.555	1.813	2.701	3.279	3.922	-60	12	56	92	44	0.47826087
3	1	1	1	43	83	2.249	2.431	3.851	3.804	4.421	20	128	124	160	-4	-0.025
3	1	1	1	83	126	2.53	2.554	3.613	3.734	4.481	4	104	116	172	12	0.069767442
3	1	1	1	126	173	2.353	2.353	3.338	3.585	4.693	0	116	132	188	16	0.085106383
3	1	1	1	173	201	2.488	2.259	3.065	3.49	4.2	-20	48	76	112	28	0.25
3	1	1	1	201	238	2.289	2.414	3.549	3.594	4.26	12	100	104	148	4	0.027027027
3	1	1	1	238	293	2.38	2.681	3.75	4.215	5.005	44	148	180	220	32	0.145454545
3	1	7	1	20	39	2.37	1.874	2.545	2.581	3.492	-40	12	16	76	4	0.052631579
3	1	7	7	39	109	1.705	2.829	2.899	3.115	4.034	140	176	204	280	28	0.1
3	1	10	1	43	86	1.673	1.717	2.72	2.72	3.219	8	124	124	172	0	0
3	1	12	1	83	117	1.891	1.994	2.838	3.002	3.789	12	84	92	136	8	0.058823529
3	1	12	12	117	152	1.976	2.013	2.915	3.187	3.723	8	84	104	140	20	0.142857143
3	1	12	12	152	194	1.93	1.985	3.109	3.223	3.708	4	112	120	168	8	0.047619048
3	1	15	12	117	155	1.813	1.9	2.824	2.984	3.408	12	104	112	152	8	0.052631579
3	1	19	1	173	199	2.205	1.98	2.884	3.277	3.744	-24	52	72	104	20	0.192307692
3	1	19	19	199	234	2.025	2.176	3.163	3.206	3.981	20	92	96	140	4	0.028571429
