Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tn	Tc	Td	Tn-Trt	Tc-Trt	Tc-Tn	(Tn-Trt)/Td	(Tc-Trt)/ Td	(Tc-Tn)/ Td
1	1	2	2	54	108	1.654	1.711	2.596	2.917	3.253	36	148	180	172	216	32	24	-8	0.148148148	0.111111111	-0.037037037
1	1	2	2	107	161	1.697	2.004	2.773	3.11	3.459	76	148	180	176	216	32	28	-4	0.148148148	0.12962963	-0.018518519
1	1	2	2	161	208	1.743	2.177	2.819	3.181	3.597	60	132	160	148	188	28	16	-12	0.14893617	0.085106383	-0.063829787
1	1	2	2	208	264	1.816	1.999	2.737	2.964	3.551	56	160	184	184	224	24	24	0	0.107142857	0.107142857	0
1	1	2	2	264	309	2.009	2.134	2.815	2.759	3.475	20	132	128	144	180	-4	12	16	-0.022222222	0.066666667	0.088888889
1	1	3	3	56	112	1.636	2.114	2.65	2.898	3.351	84	176	192	184	224	16	8	-8	0.071428571	0.035714286	-0.035714286
1	1	13	2	54	109	1.572	1.976	2.865	3.199	3.857	68	164	184	180	220	20	16	-4	0.090909091	0.072727273	-0.018181818
1	1	13	13	109	150	1.887	2.15	2.914	3.084	3.524	32	116	132	132	164	16	16	0	0.097560976	0.097560976	0
1	1	13	13	150	187	1.834	1.933	2.805	2.927	3.837	12	108	116	108	148	8	0	-8	0.054054054	0	-0.054054054
1	1	15	2	108	167	1.526	2.095	2.84	3.168	3.635	88	180	204	200	236	24	20	-4	0.101694915	0.084745763	-0.016949153
1	1	15	15	167	224	1.72	1.831	2.451	2.922	3.29	16	156	192	184	228	36	28	-8	0.157894737	0.122807018	-0.035087719
1	1	16	13	109	145	1.97	2.264	2.751	2.751	3.338	28	112	112	116	144	0	4	4	0	0.027777778	0.027777778
1	1	20	2	161	214	1.716	2.125	2.875	3.021	3.545	48	144	168	168	212	24	24	0	0.113207547	0.113207547	0
1	1	21	15	167	209	1.915	1.855	2.87	2.914	3.026	24	128	136	132	168	8	4	-4	0.047619048	0.023809524	-0.023809524
1	1	25	2	208	260	1.781	2.302	3.074	3.156	3.82	60	148	156	168	208	8	20	12	0.038461538	0.096153846	0.057692308
1	1	27	20	214	272	1.768	1.766	2.376	2.745	3.17	56	152	192	184	232	40	32	-8	0.172413793	0.137931034	-0.034482759
1	2	1	1	179	218	1.724	1.544	1.974	2.489	3.075	-84	36	112	112	156	76	76	0	0.487179487	0.487179487	0
1	2	1	1	218	283	1.455	1.67	2.224	2.479	2.883	44	156	208	208	260	52	52	0	0.2	0.2	0
1	2	2	2	21	79	1.569	1.866	2.453	2.935	3.169	52	148	204	184	232	56	36	-20	0.24137931	0.155172414	-0.086206897
1	2	2	2	79	168	1.397	2.332	2.994	3.115	3.618	208	304	312	296	356	8	-8	-16	0.02247191	-0.02247191	-0.04494382
1	2	3	3	22	63	1.5	1.726	2.586	2.812	3.628	32	112	124	124	164	12	12	0	0.073170732	0.073170732	0
1	2	12	12	155	209	1.996	2.038	2.726	3.39	4.231	12	104	160	168	216	56	64	8	0.259259259	0.296296296	0.037037037
1	2	12	12	209	247	2.168	2.089	3.148	3.616	4.263	-8	88	124	128	152	36	40	4	0.236842105	0.263157895	0.026315789
1	2	14	2	79	155	1.773	2.382	3.193	3.951	3.992	132	244	276	256	304	32	12	-20	0.105263158	0.039473684	-0.065789474
1	2	17	12	156	224	1.965	1.966	2.668	2.776	3.479	4	176	192	204	272	16	28	12	0.058823529	0.102941176	0.044117647
1	2	21	12	209	238	2.063	1.879	2.409	2.551	3.202	-16	52	68	80	116	16	28	12	0.137931034	0.24137931	0.103448276
1	2	22	1	218	263	1.619	1.546	1.96	2.351	2.89	-8	72	124	128	180	52	56	4	0.288888889	0.311111111	0.022222222
1	5	1	1	44	91	1.295	1.646	2.28	2.28	2.923	60	144	144	152	188	0	8	8	0	0.042553191	0.042553191
1	5	1	1	91	135	1.318	1.712	2.394	2.394	3.035	60	132	132	136	176	0	4	4	0	0.022727273	0.022727273
1	5	1	1	135	184	1.374	1.766	2.66	2.587	3.08	64	164	156	156	196	-8	-8	0	-0.040816327	-0.040816327	0
1	5	1	1	184	228	1.401	1.484	2.157	2.409	2.802	12	108	136	128	176	28	20	-8	0.159090909	0.113636364	-0.045454545
1	5	1	1	228	294	1.114	1.512	2.248	2.404	3.055	80	192	208	212	264	16	20	4	0.060606061	0.075757576	0.015151515
1	5	2	2	63	92	1.962	1.768	2.282	2.546	3.006	-20	40	72	80	116	32	40	8	0.275862069	0.344827586	0.068965517
1	5	2	2	92	140	1.629	2.041	2.607	2.691	3.291	72	148	156	160	192	8	12	4	0.041666667	0.0625	0.020833333
1	5	3	3	47	89	1.748	1.868	2.29	2.443	2.864	24	96	116	120	168	20	24	4	0.119047619	0.142857143	0.023809524
1	5	12	1	44	98	1.474	1.816	2.501	2.653	3.073	64	148	168	164	216	20	16	-4	0.092592593	0.074074074	-0.018518519
1	5	12	12	98	160	1.532	1.932	2.378	2.918	3.292	76	156	212	196	248	56	40	-16	0.225806452	0.161290323	-0.064516129
1	5	13	3	47	88	1.598	1.509	2.097	2.464	3.082	8	84	124	144	164	40	60	20	0.243902439	0.365853659	0.12195122
