Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tn	Tc	Td	Tn-Trt	Tc-Trt	Tc-Tn	(Tn-Trt)/Td	(Tc-Trt)/ Td	(Tc-Tn)/ Td
1	2	1	1	34	72	1.348	1.24	1.833	2.185	3.289	-20	72	104	120	152	32	48	16	0.210526316	0.315789474	0.105263158
1	2	1	1	72	98	1.635	1.037	1.816	2.105	2.944	-52	24	56	80	104	32	56	24	0.307692308	0.538461538	0.230769231
1	2	1	1	98	137	1.487	1.457	2.256	2.029	2.429	12	120	100	120	156	-20	0	20	-0.128205128	0	0.128205128
1	2	2	2	27	59	1.514	1.552	2.252	2.289	2.907	4	72	76	96	128	4	24	20	0.03125	0.1875	0.15625
1	2	2	2	60	98	1.574	1.34	2.224	2.249	2.978	-20	84	88	108	152	4	24	20	0.026315789	0.157894737	0.131578947
1	2	3	3	45	75	1.551	1.446	1.907	2.217	3.082	-16	40	72	92	120	32	52	20	0.266666667	0.433333333	0.166666667
1	2	12	2	27	59	1.345	1.292	2.325	2.283	2.908	-8	88	84	100	128	-4	12	16	-0.03125	0.09375	0.125
1	2	14	1	32	76	1.526	1.453	2.203	2.537	3.455	-8	88	120	140	176	32	52	20	0.181818182	0.295454545	0.113636364
1	2	14	14	76	109	1.674	1.238	1.941	2.237	2.861	-60	24	68	96	132	44	72	28	0.333333333	0.545454545	0.212121212
1	2	20	2	60	88	1.414	1.321	2.019	2.126	2.761	-24	52	64	88	112	12	36	24	0.107142857	0.321428571	0.214285714
1	2	21	1	71	108	1.57	1.093	1.766	2.488	2.936	-44	20	116	112	148	96	92	-4	0.648648649	0.621621622	-0.027027027
1	2	22	14	76	102	1.781	1.238	1.982	2.341	3.026	-60	16	52	84	104	36	68	32	0.346153846	0.653846154	0.307692308
1	2	22	22	102	130	1.51	1.621	2.341	2.501	3.271	8	68	76	88	112	8	20	12	0.071428571	0.178571429	0.107142857
1	3	2	2	19	69	1.253	1.284	1.684	2.092	2.873	12	84	148	160	200	64	76	12	0.32	0.38	0.06
1	3	2	2	70	96	1.358	1.142	1.825	1.989	2.469	-44	40	56	72	104	16	32	16	0.153846154	0.307692308	0.153846154
1	3	10	10	74	108	1.708	1.228	1.941	2.438	3.144	-60	32	76	112	136	44	80	36	0.323529412	0.588235294	0.264705882
1	3	13	2	19	66	1.304	1.383	1.969	2.456	3.447	12	84	136	156	188	52	72	20	0.276595745	0.382978723	0.106382979
1	3	13	13	65	91	1.72	1.201	1.946	2.397	3.309	-52	20	64	76	104	44	56	12	0.423076923	0.538461538	0.115384615
1	3	18	13	66	90	1.722	1.155	1.84	2.153	3.075	-60	12	36	68	96	24	56	32	0.25	0.583333333	0.333333333
1	3	19	2	70	102	1.586	1.205	1.921	2.329	2.909	-36	32	76	104	128	44	72	28	0.34375	0.5625	0.21875
1	3	20	10	74	114	1.544	1.228	1.69	2.105	2.921	-60	28	84	100	160	56	72	16	0.35	0.45	0.1
1	3	25	10	109	136	1.625	1.464	1.95	2.142	2.776	-40	40	56	72	108	16	32	16	0.148148148	0.296296296	0.148148148
1	4	2	2	39	119	1.663	1.693	2.334	2.564	3.894	4	136	188	248	320	52	112	60	0.1625	0.35	0.1875
1	4	3	3	38	88	1.599	1.536	2.401	2.583	3.362	-8	116	132	168	200	16	52	36	0.08	0.26	0.18
1	4	3	3	87	135	1.688	1.542	2.286	3.149	4.267	-16	76	152	168	192	76	92	16	0.395833333	0.479166667	0.083333333
1	4	4	4	11	66	1.578	1.485	2.008	2.25	3.138	-12	80	124	180	220	44	100	56	0.2	0.454545455	0.254545455
1	4	9	4	11	59	1.676	1.512	2.177	2.314	3.233	-20	84	100	144	192	16	60	44	0.083333333	0.3125	0.229166667
1	4	15	2	40	108	1.559	1.682	2.617	2.77	4.062	16	156	184	236	272	28	80	52	0.102941176	0.294117647	0.191176471
1	4	18	3	87	122	1.587	1.479	2.123	2.7	3.671	-28	56	100	104	140	44	48	4	0.314285714	0.342857143	0.028571429
2	1	2	2	14	53	1.344	1.574	2.375	2.28	2.808	40	120	112	124	156	-8	4	12	-0.051282051	0.025641026	0.076923077
2	1	2	2	53	102	1.416	1.667	2.634	2.609	3.3	32	140	136	156	196	-4	16	20	-0.020408163	0.081632653	0.102040816
2	1	11	2	14	54	1.349	1.548	2.456	2.544	3.041	48	128	132	136	160	4	8	4	0.025	0.05	0.025
2	1	11	11	54	91	1.405	1.438	2.233	2.368	2.953	8	96	108	128	148	12	32	20	0.081081081	0.216216216	0.135135135
2	1	13	1	29	113	1.431	1.778	2.557	2.545	3.558	96	236	232	272	336	-4	36	40	-0.011904762	0.107142857	0.119047619
2	1	15	2	53	98	1.392	1.464	2.521	2.312	3.038	16	132	116	140	180	-16	8	24	-0.088888889	0.044444444	0.133333333
