Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tn	Tc	Td	Tn-Trt	Tc-Trt	Tc-Tn	(Tn-Trt)/Td	(Tc-Trt)/ Td	(Tc-Tn)/ Td
1	1	1	1	67	107	1.783	1.783	2.101	2.345	2.917	0	100	120	128	160	20	28	8	0.125	0.175	0.05
1	1	1	1	107	164	1.406	1.254	1.66	1.757	2.173	36	152	172	176	228	20	24	4	0.087719298	0.105263158	0.01754386
1	2	1	1	69	125	1.675	1.712	2.146	2.34	3.07	12	128	164	176	224	36	48	12	0.160714286	0.214285714	0.053571429
1	2	1	1	125	171	1.47	1.199	1.926	2.012	2.432	-52	92	104	124	184	12	32	20	0.065217391	0.173913043	0.108695652
1	2	2	2	54	90	1.593	1.338	1.594	1.891	2.363	-36	44	80	100	144	36	56	20	0.25	0.388888889	0.138888889
1	2	4	4	54	105	1.458	1.396	2.009	2.157	2.718	-8	112	136	152	204	24	40	16	0.117647059	0.196078431	0.078431373
1	2	5	5	37	85	1.52	1.497	1.855	2.038	2.648	-4	104	140	144	192	36	40	4	0.1875	0.208333333	0.020833333
1	2	18	2	56	84	1.556	1.345	1.988	2.222	2.809	-40	48	68	88	112	20	40	20	0.178571429	0.357142857	0.178571429
1	2	27	1	125	195	1.601	1.094	2.006	2.625	3.335	-92	68	196	216	280	128	148	20	0.457142857	0.528571429	0.071428571
1	3	11	1	48	97	1.821	2.003	2.583	2.897	3.206	32	128	148	152	196	20	24	4	0.102040816	0.12244898	0.020408163
2	2	1	1	26	66	1.543	1.465	1.781	1.876	2.438	-12	72	100	124	160	28	52	24	0.175	0.325	0.15
2	2	1	1	66	132	1.265	1.157	1.671	1.745	2.203	-32	188	204	204	264	16	16	0	0.060606061	0.060606061	0
2	2	2	2	30	94	1.246	1.275	1.894	1.93	2.578	4	160	164	188	256	4	28	24	0.015625	0.109375	0.09375
2	2	5	5	12	44	1.796	3.027	1.773	2.74	3.092	124	-4	96	100	128	100	104	4	0.78125	0.8125	0.03125
2	2	10	5	12	49	1.747	2.604	1.829	2.941	3.345	92	8	120	116	148	112	108	-4	0.756756757	0.72972973	-0.027027027
2	2	11	1	26	70	1.4	1.317	2.187	2.187	2.65	-12	116	116	116	176	0	0	0	0	0	0
2	2	11	11	70	125	1.253	1.264	1.777	2.054	2.571	-12	120	160	184	220	40	64	24	0.181818182	0.290909091	0.109090909
2	2	11	11	125	189	1.354	1.354	2.044	2.383	2.737	0	152	184	216	256	32	64	32	0.125	0.25	0.125
2	2	12	2	30	80	1.413	1.356	2.039	2.099	2.752	20	132	140	152	200	8	20	12	0.04	0.1	0.06
2	2	18	1	66	117	1.173	1.229	1.743	1.957	2.419	44	120	148	160	204	28	40	12	0.137254902	0.196078431	0.058823529
2	2	19	11	70	123	1.397	1.378	1.931	2.007	2.6	-8	96	120	144	212	24	48	24	0.113207547	0.226415094	0.113207547
2	2	21	2	93	144	1.375	1.439	1.68	1.984	2.351	36	124	160	164	204	36	40	4	0.176470588	0.196078431	0.019607843
3	2	1	1	50	106	1.55	1.559	1.95	1.907	2.45	24	136	156	168	224	20	32	12	0.089285714	0.142857143	0.053571429
3	2	1	1	105	202	1.265	1.219	1.446	1.662	2.218	-8	228	308	344	388	80	116	36	0.206185567	0.298969072	0.092783505
3	2	10	1	50	117	1.634	1.741	3.106	2.87	3.507	56	164	188	236	268	24	72	48	0.089552239	0.268656716	0.179104478
3	2	13	10	116	186	1.794	1.839	2.482	2.653	3.129	12	140	220	232	280	80	92	12	0.285714286	0.328571429	0.042857143
3	3	10	1	7	35	1.111	1.046	2.079	2.16	2.61	-8	76	88	84	112	12	8	-4	0.107142857	0.071428571	-0.035714286
3	3	10	10	34	80	1.293	1.238	2.337	2.297	2.62	60	148	140	148	184	-8	0	8	-0.043478261	0	0.043478261
3	4	1	1	23	58	1.959	1.842	2.925	3.048	3.352	-12	92	108	104	140	16	12	-4	0.114285714	0.085714286	-0.028571429
3	4	1	1	40	59	1.761	1.172	1.996	2.122	2.539	-36	28	40	48	76	12	20	8	0.157894737	0.263157895	0.105263158
3	4	1	1	60	121	1.188	1.344	1.799	1.864	2.328	72	164	180	184	244	16	20	4	0.06557377	0.081967213	0.016393443
3	4	1	1	123	195	1.414	1.1	1.437	1.602	1.99	48	164	216	232	288	52	68	16	0.180555556	0.236111111	0.055555556
3	4	14	1	23	65	1.095	1.563	2.189	2.242	3.23	4	104	112	144	168	8	40	32	0.047619048	0.238095238	0.19047619
3	4	14	14	23	66	0.547	0.735	1.178	1.233	1.931	12	108	112	128	172	4	20	16	0.023255814	0.11627907	0.093023256
3	4	14	14	66	114	0.995	1.062	2.191	2.319	2.625	40	132	144	148	192	12	16	4	0.0625	0.083333333	0.020833333
3	4	17	1	66	119	0.948	0.936	1.036	1.303	1.943	52	132	160	168	212	28	36	8	0.132075472	0.169811321	0.037735849
3	5	1	1	41	95	1.531	1.572	2.082	2.147	3.143	56	156	168	184	216	12	28	16	0.055555556	0.12962963	0.074074074
3	5	1	1	99	142	1.542	1.457	1.768	1.954	2.322	-12	88	112	144	172	24	56	32	0.139534884	0.325581395	0.186046512
3	5	1	1	143	205	1.259	1.256	2.128	2.247	2.655	36	132	192	196	248	60	64	4	0.241935484	0.258064516	0.016129032
3	5	13	2	20	52	1.273	1.942	2.505	2.595	2.799	12	84	96	116	128	12	32	20	0.09375	0.25	0.15625
3	5	15	1	41	93	1.542	1.706	2.249	2.248	2.69	60	160	164	176	208	4	16	12	0.019230769	0.076923077	0.057692308
4	2	1	1	22	55	1.607	1.541	2.022	2.53	3.044	-8	68	96	108	132	28	40	12	0.212121212	0.303030303	0.090909091
4	2	1	1	55	101	1.435	1.434	1.688	2.269	3.033	56	124	156	148	184	32	24	-8	0.173913043	0.130434783	-0.043478261
4	5	2	2	20	64	1.433	1.486	2.02	2.02	2.825	28	108	108	140	176	0	32	32	0	0.181818182	0.181818182
4	5	2	2	64	109	1.377	1.537	2.224	2.217	2.878	20	108	132	140	180	24	32	8	0.133333333	0.177777778	0.044444444
4	5	11	2	20	63	1.771	1.512	2.202	2.248	2.945	20	112	116	132	172	4	20	16	0.023255814	0.11627907	0.093023256
4	5	11	11	63	112	1.351	1.62	2.066	2.188	2.817	36	140	152	168	196	12	28	16	0.06122449	0.142857143	0.081632653
4	5	12	11	63	108	1.594	1.577	2.266	2.198	3.297	8	132	136	140	180	4	8	4	0.022222222	0.044444444	0.022222222
